x,y,z
-3.2321723, -9.940725, -1.8674773
 -4.3766007, -9.490616, 3.4955344
 -14.810532, -6.0381765, 5.0421886
 -17.884687, -8.1163435, -0.7757214
 -11.999739, -8.212111, -1.1013328
 -8.12592, -8.159439, -0.6655881
 -8.264784, -13.378799, 0.94810385
 -9.864111, -14.326903, 4.10845
 -7.762002, -11.104307, -0.56982
 -8.949526, -8.034941, -2.480393
 -8.073248, -9.097966, 0.02873042
 -4.237737, -9.80665, 0.110133275
 -5.415684, -1.4796166, 8.983045
 -5.209783, -1.0247183, 6.9288197
 -5.6646814, -1.4030021, 7.905654
 -5.521029, -1.541866, 6.7947445
 -6.2823853, -1.8100165, 6.0621185
 -6.8043213, -2.6479871, 6.009446
 -7.517793, -2.9879637, 5.0278234
 -8.968679, -3.241749, 5.3821654
 -8.355764, -3.4237084, 5.803545
 -7.335834, -4.486734, 4.3622355
 -4.6255975, -6.325481, 2.1930888
 -6.325481, -7.8146744, -0.34955344
 -8.350976, -9.284714, -1.2593501
 -10.0508585, -7.8386164, -1.5562311
 -8.623915, -7.2065473, -1.0199299
 -6.325481, -6.9719152, -1.6136919
 -5.185841, -7.4986396, -1.532289
 -6.172252, -7.1873937, -1.1109096
 -6.3446345, -8.7292595, -1.7477672
 -9.279925, -8.619126, -2.1021092
 -10.965444, -9.720459, -1.9057846
 -9.32781, -5.7125654, -1.0534488
 -7.627927, -5.0661306, -1.5562311
 -6.885724, -10.563218, -3.0597897
 -10.280702, -11.506534, -0.31124622
 -9.586384, -10.28549, 0.79966336
 -7.0102224, -9.308656, 0.33039984
 -5.267244, -8.336611, -0.2825158
 -4.4340615, -8.1163435, -1.292869
 -2.135628, -8.513782, -3.715801
 -2.5091233, -10.304645, -3.064578
 -2.1499932, -7.6135616, -0.51714754
 -6.4978633, -5.602432, -2.3750482
 -5.971139, -10.927136, -5.281609
 -8.255207, -13.441049, 0.2777274
 -11.8896055, -9.294291, 0.80445176
 -10.184934, -6.7372837, -1.0534488
 -5.4204726, -8.528147, -2.09592333
